year,population
1975,324997.08408640954
1980,322792.68684490526
1985,315148.6960769107
1990,307101.3803042464
1995,300026.7435338818
2000,292010.40850526845
2005,290995.1234416002
2010,291740.6890532695
2015,277824.9303738809
2020,254973.71546023677
2025,236997.88262077374
2030,219358.9062808804
